code,variation,axis,rate,dec_p_flip,dec_p_ins,dec_p_del,dec_p_ovr_erase,trials,coded_present,coded_absent,random_present,random_absent
K7_R1_2,pegged,delete,0.004,0.01,0.01,0.01,0.01,4,0.901492,0.000000,0.036445,0.697691
K7_R1_2,pegged,delete,0.006,0.01,0.01,0.01,0.01,4,0.850590,0.002889,0.045357,0.684278
K7_R1_2,pegged,delete,0.008,0.01,0.01,0.01,0.01,4,0.844611,0.000000,0.039071,0.693739
K7_R1_2,pegged,delete,0.01,0.01,0.01,0.01,0.01,4,0.915501,0.000000,0.040443,0.691674
K7_R1_2,pegged,delete,0.012,0.01,0.01,0.01,0.01,4,0.874722,0.002557,0.043551,0.686996
K7_R1_2,pegged,delete,0.015,0.01,0.01,0.01,0.01,4,0.874203,0.008610,0.046044,0.683243
K7_R1_2,pegged,delete,0.018,0.01,0.01,0.01,0.01,4,0.867939,0.003165,0.033763,0.701727
K7_R1_2,pegged,delete,0.021,0.01,0.01,0.01,0.01,4,0.854421,0.000000,0.045147,0.684594
K7_R1_2,pegged,delete,0.025,0.01,0.01,0.01,0.01,4,0.636598,0.044303,0.038646,0.694378
K7_R1_2,pegged,delete,0.029,0.01,0.01,0.01,0.01,4,0.597170,0.045149,0.029562,0.708050
K7_R1_2,pegged,delete,0.033,0.01,0.01,0.01,0.01,4,0.463734,0.090462,0.027821,0.710672
K7_R1_2,pegged,delete,0.038,0.01,0.01,0.01,0.01,4,0.496140,0.110992,0.041941,0.689419
K7_R1_2,pegged,delete,0.043,0.01,0.01,0.01,0.01,4,0.476125,0.153638,0.021039,0.720879
K7_R1_2,pegged,delete,0.05,0.01,0.01,0.01,0.01,4,0.372434,0.226601,0.023659,0.716936
K7_R1_2,pegged,delete,0.057,0.01,0.01,0.01,0.01,4,0.441562,0.156630,0.022673,0.718419
K7_R1_2,pegged,delete,0.064,0.01,0.01,0.01,0.01,4,0.237888,0.394502,0.016447,0.727791
K7_R1_2,pegged,delete,0.07,0.01,0.01,0.01,0.01,4,0.185115,0.473929,0.049351,0.678267
K7_R1_2,pegged,erase,0,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.035904,0.698506
K7_R1_2,pegged,erase,0.006,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.044349,0.685795
K7_R1_2,pegged,erase,0.012,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.038375,0.694786
K7_R1_2,pegged,erase,0.018,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.051459,0.675094
K7_R1_2,pegged,erase,0.022,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.038636,0.694394
K7_R1_2,pegged,erase,0.026,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.039740,0.692732
K7_R1_2,pegged,erase,0.03,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.054619,0.670337
K7_R1_2,pegged,erase,0.035,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.035083,0.699741
K7_R1_2,pegged,erase,0.04,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.035782,0.698690
K7_R1_2,pegged,erase,0.045,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.038422,0.694716
K7_R1_2,pegged,erase,0.05,0.01,0.01,0.01,0.01,4,0.998769,0.000000,0.031493,0.705145
K7_R1_2,pegged,erase,0.06,0.01,0.01,0.01,0.01,4,0.948092,0.000000,0.037999,0.695353
K7_R1_2,pegged,erase,0.07,0.01,0.01,0.01,0.01,4,0.881478,0.000000,0.047352,0.681275
K7_R1_2,pegged,erase,0.08,0.01,0.01,0.01,0.01,4,0.844188,0.000000,0.036255,0.697977
K7_R1_2,pegged,erase,0.09,0.01,0.01,0.01,0.01,4,0.704224,0.015456,0.053218,0.672447
K7_R1_2,pegged,erase,0.1,0.01,0.01,0.01,0.01,4,0.621850,0.008512,0.044407,0.685708
K7_R1_2,pegged,erase,0.11,0.01,0.01,0.01,0.01,4,0.555330,0.032845,0.041507,0.690073
K7_R1_2,pegged,erase,0.12,0.01,0.01,0.01,0.01,4,0.392540,0.188746,0.048917,0.678919
K7_R1_2,pegged,erase,0.13,0.01,0.01,0.01,0.01,4,0.338323,0.245436,0.074494,0.640424
K7_R1_2,pegged,erase,0.14,0.01,0.01,0.01,0.01,4,0.286088,0.342233,0.116799,0.576751
K7_R1_2,pegged,erase,0.15,0.01,0.01,0.01,0.01,4,0.162095,0.508577,0.088407,0.619484
K7_R1_2,pegged,erase,0.16,0.01,0.01,0.01,0.01,4,0.171526,0.494382,0.128131,0.559695
K7_R1_2,pegged,erase,0.18,0.01,0.01,0.01,0.01,4,0.156706,0.516689,0.141882,0.538999
K7_R1_2,pegged,erase,0.2,0.01,0.01,0.01,0.01,4,0.198500,0.453785,0.172823,0.492430
K7_R1_2,pegged,erase,0.22,0.01,0.01,0.01,0.01,4,0.263629,0.355759,0.243430,0.386161
K7_R1_2,pegged,erase,0.24,0.01,0.01,0.01,0.01,4,0.277801,0.334430,0.303076,0.296388
K7_R1_2,pegged,erase,0.26,0.01,0.01,0.01,0.01,4,0.374640,0.188679,0.375821,0.188246
K7_R1_3,pegged,flip,0,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.034745,0.700249
K7_R1_3,pegged,flip,0.004,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.043215,0.687501
K7_R1_3,pegged,flip,0.008,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.043207,0.687514
