code,variation,axis,rate,dec_p_flip,dec_p_ins,dec_p_del,dec_p_ovr_erase,trials,coded_present,coded_absent,random_present,random_absent
K7_R1_2,matched,insert,0.004,0.01,0.004,0.01,0.01,4,0.959492,0.026498,0.000000,0.525595
K7_R1_2,matched,insert,0.006,0.01,0.006,0.01,0.01,4,0.905070,0.060825,0.000000,0.525595
K7_R1_2,matched,insert,0.008,0.01,0.008,0.01,0.01,4,0.837770,0.103148,0.000000,0.525595
K7_R1_2,matched,insert,0.01,0.01,0.01,0.01,0.01,4,0.774593,0.134768,0.000000,0.525595
K7_R1_2,matched,insert,0.012,0.01,0.012,0.01,0.01,4,0.619959,0.219194,0.000000,0.525595
K7_R1_2,matched,insert,0.015,0.01,0.015,0.01,0.01,4,0.539927,0.257580,0.000000,0.525595
K7_R1_2,matched,insert,0.018,0.01,0.018,0.01,0.01,4,0.420281,0.320061,0.000000,0.525595
K7_R1_2,matched,insert,0.021,0.01,0.021,0.01,0.01,4,0.270317,0.389522,0.000000,0.525595
K7_R1_2,matched,insert,0.025,0.01,0.025,0.01,0.01,4,0.245695,0.409822,0.000000,0.525595
K7_R1_2,matched,insert,0.029,0.01,0.029,0.01,0.01,4,0.174912,0.439545,0.000000,0.525595
K7_R1_2,matched,insert,0.033,0.01,0.033,0.01,0.01,4,0.148222,0.450829,0.000000,0.525595
K7_R1_2,matched,insert,0.038,0.01,0.038,0.01,0.01,4,0.052559,0.499293,0.000000,0.525595
K7_R1_2,matched,insert,0.043,0.01,0.043,0.01,0.01,4,0.021376,0.516635,0.000000,0.525595
K7_R1_2,matched,insert,0.05,0.01,0.05,0.01,0.01,4,0.017281,0.516734,0.000000,0.525595
K7_R1_2,matched,insert,0.057,0.01,0.057,0.01,0.01,4,0.021109,0.514970,0.000000,0.525595
K7_R1_2,matched,insert,0.064,0.01,0.064,0.01,0.01,4,0.000000,0.525595,0.000000,0.525595
K7_R1_2,matched,insert,0.07,0.01,0.07,0.01,0.01,4,0.004968,0.523320,0.000000,0.525595
K7_R1_2,matched,delete,0,0.01,0.01,0,0.01,4,0.999023,0.000977,0.000000,0.525595
K7_R1_2,matched,delete,0.002,0.01,0.01,0.002,0.01,4,0.985302,0.010967,0.000000,0.525595
K7_R1_2,matched,delete,0.004,0.01,0.01,0.004,0.01,4,0.971792,0.021084,0.000000,0.525595
